  1  2  1  330   4.50   4.50
  1  2  2  336   4.50   4.50
  1  2  3  341   4.50   4.50
  1  2  4  346   4.50   4.50
  1  2  5  350   4.50   4.50
  1  2  6  354   4.50   4.50
  1  2  7  357   4.50   4.50
  1  2  8  360   4.50   4.50
  1  2  9  362   4.50   4.50
  1  2 10  363   4.50   4.50
  1  2 11  364   4.50   4.50
  1  2 12  365   4.50   4.50
  1  2 13  365   4.50   4.50
  1  2 14  364   4.50   4.50
  1  2 15  363   4.50   4.50
  1  2 16  361   4.50   4.50
  1  2 17  359   4.50   4.50
  1  2 18  356   4.50   4.50
  1  2 19  353   4.50   4.50
  1  2 20  349   4.50   4.50
  1  2 21  345   4.50   4.50
  1  2 22  340   4.50   4.50
  1  2 23  334   4.50   4.50
  1  2 24  328   4.50   4.50
  1  1  1  290   4.50   4.50
  1  1  2  290   4.50   4.50
  1  1  3  290   4.50   4.50
  1  1  4  290   4.50   4.50
  1  1  5  290   4.50   4.50
  1  1  6  290   4.50   4.50
  1  1  7  290   4.50   4.50
  1  1  8  290   4.50   4.50
  1  1  9  290   4.50   4.50
  1  1 10  290   4.50   4.50
  1  1 11  290   4.50   4.50
  1  1 12  290   4.50   4.50
  1  1 13  290   4.50   4.50
  1  1 14  290   4.50   4.50
  1  1 15  290   4.50   4.50
  1  1 16  290   4.50   4.50
  1  1 17  290   4.50   4.50
  1  1 18  290   4.50   4.50
  1  1 19  290   4.50   4.50
  1  1 20  290   4.50   4.50
  1  1 21  290   4.50   4.50
  1  1 22  290   4.50   4.50
  1  1 23  290   4.50   4.50
  1  1 24  290   4.50   4.50
  1  1 25  290   4.50   4.50
  1  1 26  290   4.50   4.50
  1  1 27  290   4.50   4.50
  1  1 28  290   4.50   4.50
  1  1 29  290   4.50   4.50
  1  1 30  290   4.50   4.50
  1  1 31  290   4.50   4.50
  1  1 32  290   4.50   4.50
  1  1 33  290   4.50   4.50
  1  1 34  290   4.50   4.50
  1  1 35  290   4.50   4.50
  1  1 36  290   4.50   4.50
  1  1 37  290   4.50   4.50
  1  1 38  290   4.50   4.50
  1  1 39  290   4.50   4.50
  1  1 40  290   4.50   4.50
  1  4  1  335   4.50   4.50
  1  4  2  349   4.50   4.50
  1  4  3  362   4.50   4.50
  1  4  4  373   4.50   4.50
  1  4  5  383   4.50   4.50
  1  4  6  391   4.50   4.50
  1  4  7  399   4.50   4.50
  1  4  8  405   4.50   4.50
  1  4  9  409   4.50   4.50
  1  4 10  412   4.50   4.50
  1  4 11  415   4.50   4.50
  1  4 12  415   4.50   4.50
  1  4 13  415   4.50   4.50
  1  4 14  413   4.50   4.50
  1  4 15  409   4.50   4.50
  1  4 16  405   4.50   4.50
  1  4 17  399   4.50   4.50
  1  4 18  391   4.50   4.50
  1  4 19  383   4.50   4.50
  1  4 20  373   4.50   4.50
  1  4 21  362   4.50   4.50
  1  4 22  349   4.50   4.50
  1  4 23  335   4.50   4.50
  1  4 24  320   4.50   4.50
  1  3  1  303   4.50   4.50
  1  3  2  303   4.50   4.50
  1  3  3  303   4.50   4.50
  1  3  4  303   4.50   4.50
