 1  1  1 330.0 0
 1  1  2 338.0 0
 1  1  3 296.0 0
 1  1  4 285.0 0
 1  1  5 333.3 0
 1  1  6 312.0 0
 1  1  7 322.0 0
 1  1  8 293.0 0
 1  1  9 285.0 0
 1  1 10 226.0 1
 1  1 11 251.1 1
 1  1 12 354.7 1
 1  1 13 239.6 1
 1  1 14 246.0 1
 1  1 15 227.0 1
 1  1 16 236.6 1
 1  1 17 227.8 1
 1  1 18 265.7 1
 1  1 19 233.2 1
 1  1 20 245.6 1
 1  1 21 216.8 1
 1  1 22 236.7 1
 1  1 23 238.7 1
 1  1 24 217.5 1
 1  1 25 199.7 1
 1  1 26 217.9 1
 1  1 27 229.0 1
 1  1 28 229.0 1
 1  1 29 214.2 1
 1  1 30 210.5 1
 1  1 31 206.8 1
 1  1 32 203.1 1
 1  1 33 199.4 1
 1  1 34 195.8 1
 1  1 35 192.1 1
 1  1 36 188.4 1
 1  2  1 335.0 0
 1  2  2 402.0 0
 1  2  3 378.6 0
 1  2  4 412.0 0
 1  2  5 478.0 0
 1  2  6 444.0 0
 1  2  7 431.0 0
 1  2  8 437.7 0
 1  2  9 412.0 0
 1  2 10 295.0 0
 1  2 11 305.0 0
 1  2 12 229.0 1
 1  2 13 246.4 1
 1  2 14 241.0 1
 1  2 15 227.2 1
 1  2 16 276.5 1
 1  2 17 364.5 1
 1  2 18 241.0 1
 1  2 19 225.6 1
 1  2 20 219.5 1
 1  2 21 283.1 1
 1  2 22 207.0 1
 1  2 23 270.9 1
 1  2 24 220.1 1
 1  2 25 219.9 1
 1  2 26 254.3 1
 1  2 27 226.6 1
 1  2 28 236.6 1
 1  2 29 223.9 1
 1  2 30 218.8 1
 1  2 31 213.6 1
 1  2 32 208.5 1
 1  2 33 203.4 1
 1  2 34 198.3 1
 1  2 35 193.2 1
 1  2 36 188.1 1
 1  3  1 288.0 0
 1  3  2 354.0 0
 1  3  3 342.2 0
 1  3  4 442.0 0
 1  3  5 316.4 0
 1  3  6 315.0 0
 1  3  7 314.9 0
 1  3  8 352.4 0
 1  3  9 303.0 0
 1  3 10 379.7 0
 1  3 11 387.0 0
 1  3 12 253.4 1
 1  3 13 249.9 1
 1  3 14 250.7 1
 1  3 15 238.5 1
 1  3 16 227.2 1
 1  3 17 210.2 1
 1  3 18 232.8 1
 1  3 19 228.0 1
 1  3 20 103.0 1
 1  3 21 227.6 1
 1  3 22 285.0 1
 1  3 23 207.8 1
 1  3 24 217.9 1
 1  3 25 207.7 1
 1  3 26 210.4 1
 1  3 27 191.6 1
 1  3 28 212.4 1
 1  3 29 190.6 1
 1  3 30 185.8 1
 1  3 31 181.1 1
 1  3 32 176.4 1
 1  3 33 171.6 1
 1  3 34 166.9 1
 1  3 35 162.1 1
 1  3 36 157.4 1
 1  4  1 351.7 0
 1  4  2 438.9 0
 1  4  3 332.0 0
 1  4  4 342.0 0
 1  4  5 437.0 0
 1  4  6 435.0 0
